TargetX, TargetY
0.48,0.24
0.48,0.24
0.48,0.24
0.48,0.24
0.48,0.24
0.48,0.24
0.48,0.24
0.48,0.24
0.48,0.24
0.48,0.24
0.48,0.24
0.48,0.24
0.48,0.24
0.48,0.24
0.48,0.24
0.48,0.24
0.48,0.24
0.48,0.24
0.48,0.24
0.48,0.24
0.48,0.24
0.48,0.24
0.48,0.24
0.48,0.24
0.48,0.24
0.48,0.24
0.48,0.24
0.48,0.24
0.48,0.24
0.48,0.24
0.48,0.24
0.48,0.24
0.48,0.24
0.48,0.24
0.48,0.24
0.48,0.24
0.48,0.24
0.48,0.24
0.48,0.24
0.48,0.24
0.48,0.24
0.48,0.24
0.48,0.24
0.48,0.24
0.48,0.24
0.48,0.24
0.48,0.24
0.48,0.24
0.48,0.24
0.48,0.24
0.8,0.75
0.8,0.75
0.8,0.75
0.8,0.75
0.8,0.75
0.8,0.75
0.8,0.75
0.8,0.75
0.8,0.75
0.8,0.75
0.8,0.75
0.8,0.75
0.8,0.75
0.8,0.75
0.8,0.75
0.8,0.75
0.8,0.75
0.8,0.75
0.8,0.75
0.8,0.75
0.8,0.75
0.8,0.75
0.8,0.75
0.8,0.75
0.8,0.75
0.8,0.75
0.8,0.75
0.8,0.75
0.8,0.75
0.8,0.75
0.8,0.75
0.8,0.75
0.8,0.75
0.8,0.75
0.8,0.75
0.8,0.75
0.8,0.75
0.8,0.75
0.8,0.75
0.8,0.75
0.8,0.75
0.8,0.75
0.8,0.75
0.8,0.75
0.8,0.75
0.8,0.75
0.8,0.75
0.8,0.75
0.8,0.75
0.8,0.75
0.2,0.77
0.2,0.77
0.2,0.77
0.2,0.77
0.2,0.77
0.2,0.77
0.2,0.77
0.2,0.77
0.2,0.77
0.2,0.77
0.2,0.77
0.2,0.77
0.2,0.77
0.2,0.77
0.2,0.77
0.2,0.77
0.2,0.77
0.2,0.77
0.2,0.77
0.2,0.77
0.2,0.77
0.2,0.77
0.2,0.77
0.2,0.77
0.2,0.77
0.2,0.77
0.2,0.77
0.2,0.77
0.2,0.77
0.2,0.77
0.2,0.77
0.2,0.77
0.2,0.77
0.2,0.77
0.2,0.77
0.2,0.77
0.2,0.77
0.2,0.77
0.2,0.77
0.2,0.77
0.2,0.77
0.2,0.77
0.2,0.77
0.2,0.77
0.2,0.77
0.2,0.77
0.2,0.77
0.2,0.77
0.2,0.77
0.2,0.77
